"","X29","X29.1","X29.2","X25","X29.3","X25.1","X26","X21","X29.4","X21.1","X21.2","X21.3","X29.5","X29.6","X29.7","X21.4","X21.5","X25.2","X21.6","X24","X29.8","DOC.CLASS"
"1939",22,20,21,20,20,16,17,15,22,19,19,19,18,18,20,19,19,20,15,16,22,"broadsheet"
"1940",26,25,26,23,25,23,25,19,26,23,23,23,24,24,25,23,23,22,19,22,24,"broadsheet"
"1941",15,15,15,15,15,13,11,11,15,13,13,13,15,15,15,13,13,15,11,11,15,"broadsheet"
"1942",24,20,24,17,21,19,19,16,24,19,19,17,19,19,20,19,17,17,16,18,19,"broadsheet"
"1943",25,25,25,23,25,21,23,25,25,24,24,23,25,25,25,24,23,23,25,20,24,"broadsheet"
"1944",19,16,19,17,18,15,15,16,18,15,14,14,15,15,16,14,14,17,16,15,15,"broadsheet"
"1945",45,43,45,42,44,39,38,41,45,43,43,42,42,42,43,43,42,42,41,39,42,"broadsheet"
"1946",53,46,53,51,46,48,49,45,52,42,42,42,46,46,46,42,42,51,45,48,52,"broadsheet"
"1947",34,34,34,33,34,31,32,31,34,33,33,32,34,33,34,33,32,33,31,31,33,"broadsheet"
"1948",25,24,25,23,25,20,21,20,25,22,22,21,24,24,24,22,21,23,20,20,23,"broadsheet"
"1949",40,38,40,40,40,34,33,37,40,37,37,37,38,38,38,37,37,40,37,34,39,"broadsheet"
"1950",49,49,49,45,49,46,46,40,49,47,47,47,47,47,49,47,47,45,40,45,48,"broadsheet"
"1951",19,19,19,19,19,18,19,17,19,19,19,19,19,19,19,19,19,19,17,17,19,"broadsheet"
"1952",28,27,28,25,27,23,24,25,28,26,26,26,27,27,27,26,26,25,25,23,28,"broadsheet"
"1953",24,24,24,24,24,24,24,21,23,21,20,20,23,23,24,20,20,24,21,23,22,"broadsheet"
"1954",45,45,45,44,45,39,39,40,45,42,41,40,43,43,45,41,40,44,40,39,42,"broadsheet"
"1955",54,51,54,47,54,40,39,43,54,48,48,47,46,46,51,48,47,46,43,39,50,"broadsheet"
"1956",19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,18,19,19,"broadsheet"
"1957",19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,"broadsheet"
"1958",36,34,36,30,34,27,27,28,35,33,33,32,33,33,34,33,32,30,28,27,34,"broadsheet"
"1959",19,19,19,19,19,18,19,18,18,18,18,18,18,18,19,18,18,19,18,18,18,"broadsheet"
"1960",19,18,19,17,18,15,15,16,18,18,18,18,18,18,18,18,18,17,16,15,18,"broadsheet"
"1961",29,27,29,26,28,21,23,24,28,27,27,26,27,27,27,27,26,24,24,21,27,"broadsheet"
"1962",51,41,47,43,45,40,40,37,51,36,35,33,40,40,41,35,33,43,36,38,39,"broadsheet"
"1963",36,35,36,32,36,29,31,30,36,35,35,34,35,35,35,35,34,32,30,29,34,"broadsheet"
"1964",47,45,47,43,46,42,41,43,47,33,33,33,41,41,45,33,33,43,42,42,45,"broadsheet"
"1965",44,42,44,39,43,43,43,43,44,41,41,39,41,41,42,41,39,39,43,43,41,"broadsheet"
"1966",18,18,18,18,18,16,17,18,18,16,16,16,18,18,18,16,16,18,18,16,18,"broadsheet"
"1967",20,18,20,20,19,19,19,18,20,13,13,12,17,17,18,13,12,20,18,19,18,"broadsheet"
"1968",38,38,38,33,38,36,33,35,38,36,36,36,37,37,38,36,36,33,35,36,37,"broadsheet"
"1969",21,21,21,21,21,19,19,20,21,18,18,18,21,21,21,18,18,21,20,19,21,"broadsheet"
"1970",13,13,13,13,13,13,13,13,13,12,12,12,13,13,13,12,12,13,13,13,13,"broadsheet"
"1971",29,29,29,28,29,28,28,29,29,29,29,29,29,29,29,29,29,28,29,27,29,"broadsheet"
"1972",19,18,19,15,19,17,17,18,19,18,18,18,18,18,18,18,18,15,18,17,18,"broadsheet"
"1973",34,32,34,32,33,28,30,29,34,32,32,31,32,32,32,32,31,32,29,28,32,"broadsheet"
"1974",25,23,25,21,24,22,22,21,25,21,21,21,20,20,23,21,21,21,21,22,25,"broadsheet"
"1975",25,22,24,22,23,19,19,18,24,21,20,19,20,20,22,20,19,22,18,19,20,"broadsheet"
"1976",40,39,40,34,39,34,34,34,40,37,37,37,39,39,39,37,37,34,34,33,39,"broadsheet"
"1977",24,23,24,23,23,21,21,20,24,22,22,21,23,23,23,22,21,23,20,21,23,"broadsheet"
