"","X.date","X.location","X.money","X.organization","X.percent","X.person","X.time","DOC.CLASS"
"132",5,9,3,11,0,34,0,"tabloid"
"133",9,11,20,8,2,15,0,"tabloid"
"134",3,0,0,10,0,18,0,"tabloid"
"135",3,6,0,4,0,52,0,"tabloid"
"136",13,9,14,30,4,18,0,"tabloid"
"137",4,4,0,5,0,26,0,"tabloid"
"138",6,1,0,7,0,28,0,"tabloid"
"139",0,2,0,18,0,8,0,"tabloid"
"140",6,3,0,22,0,51,0,"tabloid"
"141",5,1,3,8,2,46,0,"tabloid"
"142",5,6,2,24,0,16,0,"tabloid"
"143",4,6,6,5,0,1,1,"tabloid"
"144",1,3,0,30,0,19,0,"tabloid"
"145",3,2,2,6,0,26,0,"tabloid"
"146",5,2,0,6,0,18,0,"tabloid"
"147",13,5,0,16,2,7,0,"tabloid"
"148",1,10,0,16,0,26,0,"tabloid"
"149",3,8,0,12,0,30,0,"tabloid"
"150",8,13,0,14,0,0,1,"tabloid"
"151",3,8,5,31,0,56,0,"tabloid"
"152",0,3,2,10,0,27,0,"tabloid"
"153",13,4,0,0,0,35,0,"tabloid"
"154",1,4,0,7,0,17,0,"tabloid"
"155",3,0,0,4,0,4,0,"tabloid"
"156",8,0,0,7,0,10,0,"tabloid"
"157",4,1,2,7,0,31,0,"tabloid"
"158",2,5,0,18,0,11,0,"tabloid"
"159",7,3,2,27,0,27,0,"tabloid"
"160",11,6,0,7,0,25,4,"tabloid"
"161",3,4,0,13,0,29,2,"tabloid"
"162",7,4,0,17,0,23,0,"tabloid"
"163",1,4,0,22,0,18,1,"tabloid"
"164",6,3,0,13,0,25,0,"tabloid"
"165",0,2,2,9,0,33,0,"tabloid"
"166",0,3,0,3,0,11,0,"tabloid"
"167",6,5,0,37,0,44,0,"tabloid"
"168",7,6,9,12,0,31,0,"tabloid"
"169",5,10,0,30,0,18,1,"tabloid"
"170",17,7,9,34,0,88,0,"tabloid"
"171",3,1,0,19,0,13,0,"tabloid"
"172",1,4,0,19,0,14,0,"tabloid"
"173",1,4,2,27,0,7,0,"tabloid"
"174",12,2,0,11,0,24,0,"tabloid"
